item_id,Row,Model,Prompt_Variant,cell,raters
R2c6e6b10,14,Mistral,f_A0C_empathetic_constraints,A0C,A
R7537d578,14,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
Rb2895b54,14,Mistral,f_ABC_empathetic_format_constraints,ABC,A
Re18812e5,3932,ChatGPT,v1_terse,V1,B
R6c59cea8,3932,Mistral,v1_terse,V1,B
R4e7be7ba,3932,ChatGPT,v2_empathetic,V2 / A00,B
Rf14a95fd,3932,Mistral,v2_empathetic,V2 / A00,B
R4f40ac18,3932,ChatGPT,v3_structured,V3,B
R5d87f81f,3932,Mistral,v3_structured,V3,B
Ref3480f1,3932,ChatGPT,f_000_base,000,B
Rc5da5e17,3932,Mistral,f_000_base,000,B
R64ca32bb,3932,ChatGPT,f_A0C_empathetic_constraints,A0C,B
R2be109ce,3932,Mistral,f_A0C_empathetic_constraints,A0C,B
R0e18854c,3932,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
R18de7271,3932,Mistral,f_ABC_empathetic_format_constraints,ABC,B
R0e4209b5,7095,ChatGPT,v1_terse,V1,A
R4184d4e1,7095,Mistral,v1_terse,V1,A
Rc63c18c1,7095,ChatGPT,v2_empathetic,V2 / A00,A
R90ef9fe3,7095,Mistral,v2_empathetic,V2 / A00,A
R9778cfd7,7095,ChatGPT,v3_structured,V3,A
R08e3759d,7095,Mistral,v3_structured,V3,A
R9ae78e63,7095,ChatGPT,f_000_base,000,A
R1688bf3d,7095,Mistral,f_000_base,000,A
Rde94225f,7095,ChatGPT,f_A0C_empathetic_constraints,A0C,A
Rfd38f953,7095,Mistral,f_A0C_empathetic_constraints,A0C,A
R0db5861a,7095,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
R1ac1e5d0,7095,Mistral,f_ABC_empathetic_format_constraints,ABC,A
R0c74e0c2,2163,ChatGPT,v1_terse,V1,B
R93c61ab0,2163,Mistral,v1_terse,V1,B
R0b5a052a,2163,ChatGPT,v2_empathetic,V2 / A00,B
Ra7b9f753,2163,Mistral,v2_empathetic,V2 / A00,B
R66a0853a,2163,ChatGPT,v3_structured,V3,B
R9570791f,2163,Mistral,v3_structured,V3,B
Rf7dcbd20,2163,ChatGPT,f_000_base,000,B
R74fc0fdb,2163,Mistral,f_000_base,000,B
R13e067b9,2163,ChatGPT,f_A0C_empathetic_constraints,A0C,B
R101f0cd0,2163,Mistral,f_A0C_empathetic_constraints,A0C,B
R4f0f4f43,2163,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
Rd6df8f86,2163,Mistral,f_ABC_empathetic_format_constraints,ABC,B
R3bb5e844,9495,ChatGPT,v1_terse,V1,A
Re77312ab,9495,Mistral,v1_terse,V1,A
Raae552dc,9495,ChatGPT,v2_empathetic,V2 / A00,A
R3ad4ae55,9495,Mistral,v2_empathetic,V2 / A00,A
R7587b132,9495,ChatGPT,v3_structured,V3,A
R1ce93bf9,9495,Mistral,v3_structured,V3,A
R6342c10f,9495,ChatGPT,f_000_base,000,A
R6b1ba98d,9495,Mistral,f_000_base,000,A
R15ae863d,9495,ChatGPT,f_A0C_empathetic_constraints,A0C,A
R73de1370,9495,Mistral,f_A0C_empathetic_constraints,A0C,A
R69daa2e1,9495,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
Ra4b9b245,9495,Mistral,f_ABC_empathetic_format_constraints,ABC,A
R507d6982,4451,ChatGPT,v1_terse,V1,B
R90f47653,4451,Mistral,v1_terse,V1,B
R9ec696f9,4451,ChatGPT,v2_empathetic,V2 / A00,B
R52e55abb,4451,Mistral,v2_empathetic,V2 / A00,B
R11712bb6,4451,ChatGPT,v3_structured,V3,B
Ra70a42b7,4451,Mistral,v3_structured,V3,B
R9a7f947b,4451,ChatGPT,f_000_base,000,B
Rfc61e3b5,4451,Mistral,f_000_base,000,B
R041d5fb9,4451,ChatGPT,f_A0C_empathetic_constraints,A0C,B
R9d346a80,4451,Mistral,f_A0C_empathetic_constraints,A0C,B
Rbc3b537e,4451,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
R446f0e6b,4451,Mistral,f_ABC_empathetic_format_constraints,ABC,B
R1667c7a3,8690,ChatGPT,v1_terse,V1,A
Reb54f255,8690,Mistral,v1_terse,V1,A
Rb97e3f69,8690,ChatGPT,v2_empathetic,V2 / A00,A
R034428a2,8690,Mistral,v2_empathetic,V2 / A00,A
R556650a4,8690,ChatGPT,v3_structured,V3,A
Rc304a4fe,8690,Mistral,v3_structured,V3,A
R4d3c85d5,8690,ChatGPT,f_000_base,000,A
R9d0a961e,8690,Mistral,f_000_base,000,A
R41c03e56,8690,ChatGPT,f_A0C_empathetic_constraints,A0C,A
Rd54bfd97,8690,Mistral,f_A0C_empathetic_constraints,A0C,A
Rff8d4cb0,8690,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
Rdbbbbced,8690,Mistral,f_ABC_empathetic_format_constraints,ABC,A
Rb4ed447d,7248,ChatGPT,v1_terse,V1,B
R6d876a65,7248,Mistral,v1_terse,V1,B
R57849f66,7248,ChatGPT,v2_empathetic,V2 / A00,B
R2522baa1,7248,Mistral,v2_empathetic,V2 / A00,B
Rdfd53a6c,7248,ChatGPT,v3_structured,V3,B
R3cc2b59f,7248,Mistral,v3_structured,V3,B
Raa35c1a8,7248,ChatGPT,f_000_base,000,B
R778cffc4,7248,Mistral,f_000_base,000,B
R71ffeb02,7248,ChatGPT,f_A0C_empathetic_constraints,A0C,B
R7c10ad09,7248,Mistral,f_A0C_empathetic_constraints,A0C,B
Re3ad457b,7248,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
Rbe3c66a6,7248,Mistral,f_ABC_empathetic_format_constraints,ABC,B
R13986db4,3918,ChatGPT,v1_terse,V1,A
Rd50de077,3918,Mistral,v1_terse,V1,A
Rc835f604,3918,ChatGPT,v2_empathetic,V2 / A00,A
R4d4806ef,3918,Mistral,v2_empathetic,V2 / A00,A
R2ed932ef,3918,ChatGPT,v3_structured,V3,A
Re4b1ee54,3918,Mistral,v3_structured,V3,A
R4068f44b,3918,ChatGPT,f_000_base,000,A
R2921926f,3918,Mistral,f_000_base,000,A
Rf6b4d260,3918,ChatGPT,f_A0C_empathetic_constraints,A0C,A
R2e2a577a,3918,Mistral,f_A0C_empathetic_constraints,A0C,A
R51350c75,3918,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
Rf3524ea3,3918,Mistral,f_ABC_empathetic_format_constraints,ABC,A
Rd910cc5b,2729,ChatGPT,v1_terse,V1,B
Rb7885d8e,2729,Mistral,v1_terse,V1,B
R018d7dc2,2729,ChatGPT,v2_empathetic,V2 / A00,B
R2f9be510,2729,Mistral,v2_empathetic,V2 / A00,B
R81db7786,2729,ChatGPT,v3_structured,V3,B
Ra913e2d0,2729,Mistral,v3_structured,V3,B
Ra88d2b82,2729,ChatGPT,f_000_base,000,B
Rac8705bd,2729,Mistral,f_000_base,000,B
Ra7ce3b32,2729,ChatGPT,f_A0C_empathetic_constraints,A0C,B
R68334334,2729,Mistral,f_A0C_empathetic_constraints,A0C,B
R5a7c0ea1,2729,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
Rb3d4d3b3,2729,Mistral,f_ABC_empathetic_format_constraints,ABC,B
R39a5276f,9255,ChatGPT,v1_terse,V1,A
R2bb20b34,9255,Mistral,v1_terse,V1,A
Red217c77,9255,ChatGPT,v2_empathetic,V2 / A00,A
R2ff5d8f3,9255,Mistral,v2_empathetic,V2 / A00,A
Rc275cd18,9255,ChatGPT,v3_structured,V3,A
R7a708a8a,9255,Mistral,v3_structured,V3,A
Rf2b5df42,9255,ChatGPT,f_000_base,000,A
R1f9592cf,9255,Mistral,f_000_base,000,A
R9de7a963,9255,ChatGPT,f_A0C_empathetic_constraints,A0C,A
R829f0d38,9255,Mistral,f_A0C_empathetic_constraints,A0C,A
R4b8e21e6,9255,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
Rff1510f4,9255,Mistral,f_ABC_empathetic_format_constraints,ABC,A
R5cf02d5c,8224,ChatGPT,v1_terse,V1,B
R7b29de02,8224,Mistral,v1_terse,V1,B
R252fb8e2,8224,ChatGPT,v2_empathetic,V2 / A00,B
Rbd4838c6,8224,Mistral,v2_empathetic,V2 / A00,B
Rf2d4bc45,8224,ChatGPT,v3_structured,V3,B
R5c8d6d6d,8224,Mistral,v3_structured,V3,B
R320834ea,8224,ChatGPT,f_000_base,000,B
R2115d9ec,8224,Mistral,f_000_base,000,B
R15dd0310,8224,ChatGPT,f_A0C_empathetic_constraints,A0C,B
R5774f884,8224,Mistral,f_A0C_empathetic_constraints,A0C,B
R06ae0439,8224,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
R0499c690,8224,Mistral,f_ABC_empathetic_format_constraints,ABC,B
Rfa084688,3813,ChatGPT,v1_terse,V1,A
R438b47de,3813,Mistral,v1_terse,V1,A
R207f7bd8,3813,ChatGPT,v2_empathetic,V2 / A00,A
Rc6891fa9,3813,Mistral,v2_empathetic,V2 / A00,A
R9e14d491,3813,ChatGPT,v3_structured,V3,A
R9f111b45,3813,Mistral,v3_structured,V3,A
R37c6f682,3813,ChatGPT,f_000_base,000,A
Rf08bdbe1,3813,Mistral,f_000_base,000,A
Rac929ddc,3813,ChatGPT,f_A0C_empathetic_constraints,A0C,A
R4851a787,3813,Mistral,f_A0C_empathetic_constraints,A0C,A
Rb9c52221,3813,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
Rd95287b3,3813,Mistral,f_ABC_empathetic_format_constraints,ABC,A
Re02f57a5,377,ChatGPT,v1_terse,V1,B
R7ef37714,377,Mistral,v1_terse,V1,B
Rf636708c,377,ChatGPT,v2_empathetic,V2 / A00,B
Rfa6913db,377,Mistral,v2_empathetic,V2 / A00,B
R5c8fadc5,377,ChatGPT,v3_structured,V3,B
Rc7e41b35,377,Mistral,v3_structured,V3,B
R5763bf46,377,ChatGPT,f_000_base,000,B
R7ab46c27,377,Mistral,f_000_base,000,B
R3f016b89,377,ChatGPT,f_A0C_empathetic_constraints,A0C,B
Rb6e926f6,377,Mistral,f_A0C_empathetic_constraints,A0C,B
R37f02cc6,377,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
R9cebd75f,377,Mistral,f_ABC_empathetic_format_constraints,ABC,B
Rd7ea3d82,1276,ChatGPT,v1_terse,V1,A
R67c76873,1276,Mistral,v1_terse,V1,A
R8f82923d,1276,ChatGPT,v2_empathetic,V2 / A00,A
Ra77ff5c0,1276,Mistral,v2_empathetic,V2 / A00,A
R1ebc63aa,1276,ChatGPT,v3_structured,V3,A
R91079f6c,1276,Mistral,v3_structured,V3,A
R0905b0bd,1276,ChatGPT,f_000_base,000,A
R5c87fb5f,1276,Mistral,f_000_base,000,A
Re1174bec,1276,ChatGPT,f_A0C_empathetic_constraints,A0C,A
R74d4ba02,1276,Mistral,f_A0C_empathetic_constraints,A0C,A
R7e5cfb7d,1276,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
R8a81664a,1276,Mistral,f_ABC_empathetic_format_constraints,ABC,A
